POPS_Number,Borough_Name,Borough_Code,Community_District,Address_Number,Street_Name,Zip_Code,Building_Address_With_Zip_Code,Tax_Block,Tax_Lot,Building_Name,Building_Location,Year_Completed,Stories,Alternate_Stories,New_Building_Number,Building_Constructed,Primary_Building_Use,Additional_Addresses,Public_Space_Location,Public_Space_Type,Arcade,Covered_Pedestrian_Space,Elevated_Plaza,Open_Air_Concourse,Pedestrian_Circulation_Space,Plaza,Public_Plaza,Residential_Plaza,Sidewalk_Widening,Through_Block_Arcade,Through_Block_Connection,Through_Block_Galleria,Urban_Plaza,Other_Public_Spaces,Other_Public_Spaces_List,Developer,Building_Architect,Principal_Public_Space_Designer,Size_Required,Hour_Of_Access_Required_List,Hour_Of_Access_Required,Open_24_Hours,Restricted_Hours,Closing_for_Events,Amenities_Required_List,Amenities_Required,None,Artwork,Bicycle_Parking,Climate_Control,Drinking_Fountain,Elevator,Escalator,Food_Service,Lighting,Litter_Receptacles,Planting,Plaque_Sign,Programs,Restrooms,Retail_Frontage,Seating,Subway,Tables,Trees_on_Street,Trees_within_Space,Water_Feature,Other_Required,Permitted_Amenities_List,Permitted_Amenities,Open_Air_Cafe,Other_Permitted,Physically_Disabled,Latitude,Longitude,XCoordinate,YCoordinate
M050060,Manhattan,1,05,1095,SIXTH AVENUE,10036,"1095 SIXTH AVENUE, New York, NY 10036",00994,7501,Bell Atlantic,Full blockfront on west side of Sixth Avenue between West 41st and 42nd Streets,1971,41,,"177/69",Completed,Commercial,,,Special Permit Plaza; Subway Concourse,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Special Permit Plaza; Subway Concourse,New York Telephone Co.,Kahn and Jacobs,Kahn and Jacobs; Bonsignore Brignati & Mazzotta (for alteration in 1989); Moed de Armas & Shannon (for alteration in 2010),Special Permit Plaza 17034.18 sf; Subway Concourse 0.00 sf,24 Hours,Special Permit Plaza: 24 Hours; Subway Concourse: 24 Hours,Yes,,,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Programs; Seating; Subway; Tables; Trees on Street; Trees within Space","Special Permit Plaza: Artwork; Special Permit Plaza: Bicycle Parking (10 spaces; owner required to discuss with NYC DOT City Racks program the feasibility of installing bicycle racks to accomodate 5 bicycles on the 42nd Street sidewalk adjacent to the Special Permit Plaza); Special Permit Plaza: Drinking Fountain (2); Special Permit Plaza: Lighting; Special Permit Plaza: Litter Receptacles (10); Special Permit Plaza: Planting (3,565 sf); Special Permit Plaza: Plaque/Sign (1 entry plaque and 1 combined entry and information plaque along 41st Street, 1 entry plaque and 1 combined entry and information plaque along 42nd Street); Special Permit Plaza: Programs (2 free public events or performances a month from May through October); Special Permit Plaza: Seating (603 linear feet including 172 lf fixed benches with backs, 231 lf fixed benches without backs, and 100 movable chairs (200 lf)); Special Permit Plaza: Tables (25); Special Permit Plaza: Trees on Street (street trees cannot be planted due to existing vaults and subways below sidewalk, owner required to discuss with DCP the provisions for additional compliance); Special Permit Plaza: Trees within Space (18 including 6 to meet ""Trees on Street"" requirement); Subway Concourse: Subway (improvements to the subway in the vicinity of West 42nd Street and Sixth Avenue from a $500,000 contribution from the developer)",,Yes,10 spaces; owner required to discuss with NYC DOT City Racks program the feasibility of installing bicycle racks to accomodate 5 bicycles on the 42nd Street sidewalk adjacent to the Special Permit Plaza,,2,,,,Yes,10,"3,565 sf","1 entry plaque and 1 combined entry and information plaque along 41st Street, 1 entry plaque and 1 combined entry and information plaque along 42nd Street",2 free public events or performances a month from May through October,,,"603 linear feet including 172 lf fixed benches with backs, 231 lf fixed benches without backs, and 100 movable chairs (200 lf)","improvements to the subway in the vicinity of West 42nd Street and Sixth Avenue from a $500,000 contribution from the developer",25,"street trees cannot be planted due to existing vaults and subways below sidewalk, owner required to discuss with DCP the provisions for additional compliance","18 including 6 to meet ""Trees on Street"" requirement",,,,,,,"Full/Partial",40.754754,-73.985006 ,0988404,0214254
M050061,Manhattan,1,05,101,PARK AVENUE,10178,"101 PARK AVENUE, New York, NY 10178",01295,0001,,Full blockfront on the east side of Park Avenue between East 40th and 41st Streets,1983,46,,"17/79",Completed,Commercial,,,Arcade; Sidewalk Widening; Urban Plaza,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,Kalikow & Co,Eli Attia,Eli Attia,Arcade 855.00 sf; Sidewalk Widening 1722.43 sf; Urban Plaza 13874.00 sf,24 Hours,Arcade: 24 Hours; Sidewalk Widening: 24 Hours; Urban Plaza: 24 Hours,Yes,,,"Artwork; Lighting; Litter Receptacles; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space; Water Feature","Sidewalk Widening: Trees on Street (30); Urban Plaza: Artwork (sculpture in fountain); Urban Plaza: Lighting; Urban Plaza: Litter Receptacles; Urban Plaza: Plaque/Sign; Urban Plaza: Retail Frontage; Urban Plaza: Seating (343 linear feet required, 540 lf including 220 lf with backs provided); Urban Plaza: Trees within Space (7 required, 10 provided); Urban Plaza: Water Feature (fountain)",,sculpture in fountain,,,,,,,Yes,Yes,,Yes,,,Yes,"343 linear feet required, 540 lf including 220 lf with backs provided",,,30,"7 required, 10 provided",fountain,,,,,,"Full/Partial",40.750874,-73.977756 ,0990413,0212841
M050062,Manhattan,1,05,445,FIFTH AVENUE,10016,"445 FIFTH AVENUE, New York, NY 10016",00869,7501,Fifth Avenue Tower,Northeast corner of East 39th Street and  Fifth Avenue,1985,33,,"16/84",Completed,"Co-op/Condo; Residential",,,Urban Plaza,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,,Emery Roth & Sons,Weintraub & di Domenico,Urban Plaza 2263.00 sf,24 Hours,Urban Plaza: 24 Hours,Yes,,,"Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space; Water Feature","Urban Plaza: Lighting; Urban Plaza: Litter Receptacles (2 cubic feet); Urban Plaza: Other Required (colonnade); Urban Plaza: Planting (4 planters); Urban Plaza: Plaque/Sign; Urban Plaza: Retail Frontage; Urban Plaza: Seating (113 linear feet including 5.7 lf with backs required, 64 lf of fixed seats and 40 movable chairs (available from 8:00 am to 7:00 pm) provided); Urban Plaza: Trees on Street (7); Urban Plaza: Trees within Space (4 required, 11 provided); Urban Plaza: Water Feature (fountain with lattice screen along eastern and northern walls, bubbler fountain along colonnade)",,,,,,,,,Yes,2 cubic feet,4 planters,Yes,,,Yes,"113 linear feet including 5.7 lf with backs required, 64 lf of fixed seats and 40 movable chairs (available from 8:00 am to 7:00 pm) provided",,,7,"4 required, 11 provided","fountain with lattice screen along eastern and northern walls, bubbler fountain along colonnade",colonnade,,,,,"Full/Partial",40.751588,-73.981752 ,0989306,0213101
M050063,Manhattan,1,05,1411,BROADWAY,10018,"1411 BROADWAY, New York, NY 10018",00815,0001,World Apparel Center,Full block bounded by Broadway and Seventh Avenue and West 39th and 40th Streets,1968,40,,"65/64",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Keystone Associates,Irwin Chanin,Irwin Chanin; Moed de Armas & Shannon Architects (for alteration in 2014),Arcade 1119.00 sf; Plaza 14851.00 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space","Plaza: Artwork (Broadway Plaza: Golda Meir sculpture; Seventh Avenue Plaza: sewer sculpture); Plaza: Bicycle Parking (3 spaces on Broadway); Plaza: Drinking Fountain (Seventh Avenue Plaza: 1); Plaza: Lighting; Plaza: Litter Receptacles (Broadway Plaza: 5; Seventh Avenue Plaza: 5); Plaza: Planting (Broadway Plaza: 1,037 sf; Seventh Avenue Plaza: 758 sf); Plaza: Plaque/Sign (Broadway Plaza: 1 entry plaque and 1 combined entry and information plaque; Seventh Avenue Plaza: 2 entry plaques); Plaza: Retail Frontage; Plaza: Seating (Broadway Plaza: 367.25 linear feet including 179.2 lf fixed benches, 46 lf fixed benches with backs, and 71 movable chairs (142 lf); Seventh Avenue Plaza: 235.25 lf including 113.25 lf fixed benches, 26 lf fixed benches with backs, and 48 movable chairs (96 lf)); Plaza: Tables (Broadway Plaza: 12; Seventh Avenue Plaza: 11); Plaza: Trees on Street (4); Plaza: Trees within Space (Broadway Plaza: 11; Seventh Avenue Plaza: 5)",,Broadway Plaza: Golda Meir sculpture; Seventh Avenue Plaza: sewer sculpture,3 spaces on Broadway,,Seventh Avenue Plaza: 1,,,,Yes,Broadway Plaza: 5; Seventh Avenue Plaza: 5,"Broadway Plaza: 1,037 sf; Seventh Avenue Plaza: 758 sf",Broadway Plaza: 1 entry plaque and 1 combined entry and information plaque; Seventh Avenue Plaza: 2 entry plaques,,,Yes,"Broadway Plaza: 367.25 linear feet including 179.2 lf fixed benches, 46 lf fixed benches with backs, and 71 movable chairs (142 lf); Seventh Avenue Plaza: 235.25 lf including 113.25 lf fixed benches, 26 lf fixed benches with backs, and 48 movable chairs (96 lf)",,Broadway Plaza: 12; Seventh Avenue Plaza: 11,4,Broadway Plaza: 11; Seventh Avenue Plaza: 5,,,,,,,"Full/Partial",40.754194,-73.987566 ,0987695,0214050
M050064,Manhattan,1,05,1,PENNSYLVANIA PLAZA,10119,"1 PENNSYLVANIA PLAZA, New York, NY 10119",00783,0070,One Penn Plaza,Full block between Seventh and Eighth Avenues and West 33rd and 34th Streets,1972,57,,"85/68",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Harry Helmsley & Larry Wien,Kahn and Jacobs,Kahn and Jacobs; Thomas Balsley Associates (for alteration in 2007); Zurita Architects (for alteration in 2010),Arcade 3822.00 sf; Plaza 50095.50 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space","Plaza: Artwork (347 sf art installation); Plaza: Bicycle Parking (parking for 4 bicycles (2 hoop racks)); Plaza: Drinking Fountain (1); Plaza: Lighting; Plaza: Litter Receptacles (13); Plaza: Plaque/Sign (3 entry plaques, 1 information plaque, 2 ""Open 24 Hours"" signs, 1 ""Open to Public"" sign); Plaza: Retail Frontage; Plaza: Seating (685 linear feet including 251 lf fixed seats with backs, 74 fixed seats with backs, and 96 movable chairs); Plaza: Tables (25); Plaza: Trees within Space (26)",,347 sf art installation,parking for 4 bicycles (2 hoop racks),,1,,,,Yes,13,,"3 entry plaques, 1 information plaque, 2 ""Open 24 Hours"" signs, 1 ""Open to Public"" sign",,,Yes,"685 linear feet including 251 lf fixed seats with backs, 74 fixed seats with backs, and 96 movable chairs",,25,,26,,,,,,,"Full/Partial",40.751263,-73.992374 ,0986363,0212982
M050065,Manhattan,1,05,3,PARK AVENUE,10016,"3 PARK AVENUE, New York, NY 10016",00889,7501,Three Park Avenue,Full blockfront on east side of Park Avenue between East 33rd and 34th Streets,1974,42,,"22/71",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,Shreve Lamb & Harmon,Shreve Lamb & Harmon,Arcade 2761.00 sf; Plaza 8862.00 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.746511,-73.981075 ,0989494,0211251
M050066,Manhattan,1,05,475,PARK AVENUE SOUTH,10016,"475 PARK AVENUE SOUTH, New York, NY 10016",00887,0095,,Southeast corner of East 32nd Street and Park Avenue South,1969,35,,"45/68",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Cohen Brothers Realty Corp.,"Shreve, Lamb & Harmon","Shreve, Lamb & Harmon",Arcade 1542.75 sf; Plaza 6424.50 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,None,Arcade: None; Plaza: None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.745402,-73.982089 ,0989213,0210847
M050067,Manhattan,1,05,1250,BROADWAY,10001,"1250 BROADWAY, New York, NY 10001",00833,0011,,Full blockfront on the east side of Broadway between West 31st and 32nd Streets,1968,40,,"52/66",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,"Louis Cooper, Jerry Bregstein","Shreve, Lamb & Harmon","Shreve, Lamb & Harmon",Arcade 1035.72 sf; Plaza 8562.55 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; None; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space","Arcade: None; Plaza: Bicycle Parking (4); Plaza: Drinking Fountain (1); Plaza: Lighting (Min 0.9 Fc); Plaza: Litter Receptacles (5); Plaza: Planting (572 sf (not including green walls)); Plaza: Plaque/Sign (West 31st: 1 entry plaque; Broadway: 2 entry plaques; West 32nd: 3 entry plaques; 1 info plaque mounted on wall); Plaza: Retail Frontage (274'-4 5/8"" (65.6%)); Plaza: Seating (286 LF seating provided including 86 LF movable seating, benches with and without backs); Plaza: Trees on Street (2); Plaza: Trees within Space (1)",Yes,,4,,1,,,,Min 0.9 Fc,5,572 sf (not including green walls),West 31st: 1 entry plaque; Broadway: 2 entry plaques; West 32nd: 3 entry plaques; 1 info plaque mounted on wall,,,"274'-4 5/8"" (65.6%)","286 LF seating provided including 86 LF movable seating, benches with and without backs",,,2,1,,,,,,,"Full/Partial",40.747774,-73.987874 ,0987610,0211711
M050068,Manhattan,1,05,2,PENNSYLVANIA PLAZA,10121,"2 PENNSYLVANIA PLAZA, New York, NY 10121",00781,0002,"Two Penn Plaza/Madison Square Garden",Full blocks between Seventh and Eighth Avenues and West 31st and 33rd Streets,1967,30,,"103/64",Completed,Commercial,,,Plaza (C6-2); Plaza (C6-4),No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Plaza (C6-2); Plaza (C6-4),"Tishman Realty & Construction Co.,  Inc.",Charles Luckman,Charles Luckman,Plaza (C6-2) 18124.40 sf; Plaza (C6-4) 0.00 sf,24 Hours,Plaza (C6-2): 24 Hours; Plaza (C6-4): 24 Hours,Yes,,,None,Plaza (C6-2): None; Plaza (C6-4): None,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Full/Partial",40.749981,-73.992132 ,0986430,0212515
M050069,Manhattan,1,05,41,MADISON AVENUE,10010,"41 MADISON AVENUE, New York, NY 10010",00855,0037,New York Merchandise Mart,Southeast corner of East 26th Street and Madison Avenue,1972,42,,"118/69",Completed,Commercial,,,Arcade; Plaza,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Samuel Rudin,Emery Roth & Sons,Emery Roth & Sons; Fox and Fowle Architects (for alteration in 2002),Arcade 571.95 sf; Plaza 4785.00 sf,24 Hours,Arcade: 24 Hours; Plaza: 24 Hours,Yes,,,"Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating","Plaza: Lighting; Plaza: Litter Receptacles (2); Plaza: Planting (4 circular planters (8' diameter each), 1 rectangular planter (3' x 15')); Plaza: Plaque/Sign; Plaza: Seating (112 linear feet composed of 56 seats)",,,,,,,,,Yes,2,"4 circular planters (8' diameter each), 1 rectangular planter (3' x 15')",Yes,,,,112 linear feet composed of 56 seats,,,,,,,,,,,"Full/Partial",40.742383,-73.986269 ,0988055,0209747
M050070,Manhattan,1,05,5,EAST 22 STREET,10010,"5 EAST 22 STREET, New York, NY 10010",00851,7501,Madison Green,Full blockfront on east side of Broadway between East 22nd and 23rd Streets,1983,29,,"5/81",Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,Philip Birnbaum,David Spector,Residential Plaza 13142.53 sf,Restricted Hours,"Residential Plaza: Restricted Hours (Primary Space: 8:00 am to 8:00 pm or dark, whichever is later; 24 Hours: Usable Residual Space)",,"Primary Space: 8:00 am to 8:00 pm or dark, whichever is later; 24 Hours: Usable Residual Space",,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Residential Plaza: Artwork (Primary Space: usable landscape sculpture); Residential Plaza: Bicycle Parking (Primary Space: 16.4 spaces required, 17 spaces provided); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting; Residential Plaza: Litter Receptacles; Residential Plaza: Planting (Primary Space: 1,226.35 sf required, 3,173 sf provided; 1,182 sf grass and other ground cover required, 3,200 sf provided); Residential Plaza: Plaque/Sign; Residential Plaza: Seating (Primary Space: 272.5 linear feet including 27.25 lf with backs required, 308 lf including 70.5 lf with backs provided; Usable Residual Space: 165.56 linear feet including 16.55 lf with backs required, 191 lf including 17 lf with backs provided); Residential Plaza: Trees on Street (21 required, 27 provided); Residential Plaza: Trees within Space (Primary Space: 13 required, 38 provided; Usable Residual Space: 5 required, 13 provided)",,Primary Space: usable landscape sculpture,"Primary Space: 16.4 spaces required, 17 spaces provided",,Primary Space: 1,,,,Yes,Yes,"Primary Space: 1,226.35 sf required, 3,173 sf provided; 1,182 sf grass and other ground cover required, 3,200 sf provided",Yes,,,,"Primary Space: 272.5 linear feet including 27.25 lf with backs required, 308 lf including 70.5 lf with backs provided; Usable Residual Space: 165.56 linear feet including 16.55 lf with backs required, 191 lf including 17 lf with backs provided",,,"21 required, 27 provided","Primary Space: 13 required, 38 provided; Usable Residual Space: 5 required, 13 provided",,,,,,,"Full/Partial",40.740794,-73.988889 ,0987329,0209168
M050071,Manhattan,1,05,108,FIFTH AVENUE,10011,"108 FIFTH AVENUE, New York, NY 10011",00817,7501,,Southwest corner of West 16th Street Fifth Avenue,1986,21,,"90/85",Completed,"Co-op/Condo; Residential",,,Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,Rothzeid Kaiserman Thomason & Bee,Stamatios P. Lykos & Associates,Residential Plaza 1979.00 sf,24 Hours,Residential Plaza: 24 Hours,Yes,,,"Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space; Water Feature","Residential Plaza: Artwork; Residential Plaza: Bicycle Parking (4 spaces); Residential Plaza: Drinking Fountain; Residential Plaza: Lighting; Residential Plaza: Litter Receptacles; Residential Plaza: Planting (300 sf); Residential Plaza: Plaque/Sign; Residential Plaza: Retail Frontage; Residential Plaza: Seating (25 linear feet including 2.5 lf with backs required, 40 lf with backs provided); Residential Plaza: Trees on Street (5); Residential Plaza: Trees within Space (2 required, 3 provided); Residential Plaza: Water Feature (ornamental fountain)",,Yes,4 spaces,,Yes,,,,Yes,Yes,300 sf,Yes,,,Yes,"25 linear feet including 2.5 lf with backs required, 40 lf with backs provided",,,5,"2 required, 3 provided",ornamental fountain,,,,,,"Full/Partial",40.737289,-73.993043 ,0986178,0207891
M050072,Manhattan,1,05,50,LEXINGTON AVENUE,10010,"50 LEXINGTON AVENUE, New York, NY 10010",00880,0019,,Northwest corner of East 24th Street and Lexington Avenue,1987,28,,"29/85",Completed,Residential,,,Public Access Areas; Residential Plaza,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Public Access Areas,,Weschler Grasso Menziuso,"Weschler Grasso Menziuso; Armand Le Gardeur, Architect (for alteration in 2012)",Public Access Areas 4304.50 sf; Residential Plaza 0.00 sf,24 Hours,Public Access Areas: 24 Hours; Residential Plaza: 24 Hours,Yes,,,"Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space","Public Access Areas: Planting (10 sf planter bed, 14.8 sf planter walls); Public Access Areas: Plaque/Sign (1); Public Access Areas: Seating (3.8 lf including 1.9 lf with backs); Residential Plaza: Bicycle Parking (Primary Space: 6 spaces); Residential Plaza: Drinking Fountain (Primary Space: 1); Residential Plaza: Lighting (minimum greater than 2 foot candles); Residential Plaza: Litter Receptacles (4); Residential Plaza: Other Required (Primary Space: 157 sf entry pavilion); Residential Plaza: Planting (Primary Space: 688.5 sf); Residential Plaza: Plaque/Sign (Primary Space: 2; Usable Residual Space: 1); Residential Plaza: Seating (Primary Space: 182.4 lf including 71.5 lf with backs; Usable Residual Space: 26.8 lf including 13.42 lf with backs); Residential Plaza: Trees on Street (9); Residential Plaza: Trees within Space (Primary Space: 5 required, 8 provided; Usable Residual Space: 1 required, 1 provided)",,,Primary Space: 6 spaces,,Primary Space: 1,,,,minimum greater than 2 foot candles,4,"Primary Space: 688.5 sf; 10 sf planter bed, 14.8 sf planter walls",Primary Space: 2; Usable Residual Space: 1; 1,,,,Primary Space: 182.4 lf including 71.5 lf with backs; Usable Residual Space: 26.8 lf including 13.42 lf with backs; 3.8 lf including 1.9 lf with backs,,,9,"Primary Space: 5 required, 8 provided; Usable Residual Space: 1 required, 1 provided",,Primary Space: 157 sf entry pavilion,,,,,"Full/Partial",40.740536,-73.984335 ,0988591,0209074
M050074,Manhattan,1,05,156,WEST 56 STREET,10019,"156 WEST 56 STREET, New York, NY 10019",01008,7503,CitySpire,South side of West 56th Street between Sixth and Seventh Avenues,1987,75,,"70/84",Completed,"Co-op/Condo; Commercial; Residential",,,Building Entrance Recess Area; Through Block Connection,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Building Entrance Recess Area,Ian Bruce Eichner,"Murphy/Jahn",Brennan Beer Gorman,Building Entrance Recess Area 682.54 sf; Through Block Connection 3842.08 sf,24 Hours; Restricted Hours,Building Entrance Recess Area: 24 Hours; Through Block Connection: Restricted Hours (8:00 am to midnight),Yes,8:00 am to midnight,,"Climate Control; Lighting; Other Required; Plaque/Sign","Building Entrance Recess Area: Lighting (5 foot candles); Through Block Connection: Climate Control; Through Block Connection: Lighting (8  foot candles); Through Block Connection: Other Required (display windows and exhibition area); Through Block Connection: Plaque/Sign",,,,Yes,,,,,5 foot candles; 8  foot candles,,,Yes,,,,,,,,,,display windows and exhibition area,,,,,"Full/Partial",40.764241,-73.979745 ,0989861,0217711
M050075,Manhattan,1,05,135,WEST 52 STREET,10019,"135 WEST 52 STREET, New York, NY 10019",01005,7501,Flatotel,North side of West 52nd Street between Sixth and Seventh Avenues,1985,46,,"65/83",Completed,Hotel; Residential,,,Through Block Galleria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,"East/West Associates",Rafael Vinoly,"Rafael Vinoly, MPFP Landscape Architects PLLC (for 2016 design change)",Through Block Galleria 6450.23 sf,Restricted Hours,Through Block Galleria: Restricted Hours (Open and accessible daily from 7:00am to 11:00pm. ),,Open and accessible daily from 7:00am to 11:00pm. ,,"Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Water Feature","Through Block Galleria: Drinking Fountain (1); Through Block Galleria: Lighting (LED lamps); Through Block Galleria: Litter Receptacles (3); Through Block Galleria: Planting (195 sf planting provided. Green wall of Ivy along eastern and western walls); Through Block Galleria: Plaque/Sign; Through Block Galleria: Seating (232 LF seating provided including 53 movable chairs); Through Block Galleria: Water Feature (Water fall)",,,,,1,,,,LED lamps,3,195 sf planting provided. Green wall of Ivy along eastern and western walls,Yes,,,,232 LF seating provided including 53 movable chairs,,,,,Water fall,,,,,,"Full/Partial",40.762046,-73.980893 ,0989543,0216911
